repo_name,repo_owner,full_name,repo_url,description,created_at,updated_at,topics,stars_count,forks_count,prs_opened_count,prs_merged_count,commits_count,contributors_count,active_days,time_to_first_response,time_to_merge,release_count
awesome-go,avelino,avelino/awesome-go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",2014-07-06T13:42:15Z,2025-11-06T23:35:38Z,"awesome,awesome-list,go,golang,golang-library,hacktoberfest",156760,12745,5017,3553,5190,2380,1841,285.12,561.44,0
next.js,vercel,vercel/next.js,https://github.com/vercel/next.js,The React Framework,2016-10-05T23:32:51Z,2025-11-06T21:48:37Z,"blog,browser,compiler,components,hybrid,nextjs,node,react,server-rendering,ssg,static,static-site-generator,universal,vercel",135496,29767,32974,24821,31677,3993,3009,43.59,115.22,3383
flutter,flutter,flutter/flutter,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,2015-03-06T22:54:58Z,2025-11-06T21:37:42Z,"android,app-framework,cross-platform,dart,dart-platform,desktop,flutter,flutter-package,fuchsia,ios,linux-desktop,macos,material-design,mobile,mobile-development,skia,web,web-framework,windows",173739,29455,66282,45009,86791,2191,3852,56.27,107.79,7
react,facebook,facebook/react,https://github.com/facebook/react,The library for web and native user interfaces.,2013-05-24T16:15:54Z,2025-11-06T21:51:42Z,"declarative,frontend,javascript,library,react,ui",240370,49762,18532,12504,21164,1956,3612,277.78,156.23,106
ohmyzsh,ohmyzsh,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",2009-08-28T18:15:37Z,2025-11-06T22:33:19Z,"cli,cli-app,oh-my-zsh,oh-my-zsh-plugin,oh-my-zsh-theme,ohmyzsh,plugin-framework,plugins,productivity,shell,terminal,theme,themes,zsh,zsh-configuration",182526,26272,7808,3430,7633,2769,2592,2206.87,2693.11,0
ollama,ollama,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",2023-06-26T19:39:32Z,2025-11-06T23:26:31Z,"deepseek,gemma,gemma3,gemma3n,go,golang,gpt-oss,llama,llama2,llama3,llava,llm,llms,mistral,ollama,phi4,qwen",155489,13562,4111,2707,4769,548,746,212.86,160.5,159
cheat.sh,chubin,chubin/cheat.sh,https://github.com/chubin/cheat.sh,the only cheat sheet you need,2017-05-07T21:40:56Z,2025-11-06T22:56:58Z,"cheatsheet,cli,command-line,curl,documentation,examples,hacktoberfest2021,help,terminal,tldr",40418,1881,162,129,922,65,243,1023.43,985.95,0
30-Days-Of-Python,Asabeneh,Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than 100 days, follow your own pace.  These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",2019-11-19T17:24:16Z,2025-11-06T23:53:11Z,"30-days-of-python,flask,github,heroku,matplotlib,mongodb,numpy,pandas,python,python3",52004,9958,430,62,451,18,96,1327.41,43.05,0
awesome-chatgpt-prompts,f,f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,2022-12-05T13:54:13Z,2025-11-07T00:23:13Z,"bots,chatbot,chatgpt,chatgpt-api,language",136194,18117,730,170,758,145,147,1210.37,124.44,0
tech-interview-handbook,yangshun,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers,2016-07-05T05:00:48Z,2025-11-07T00:27:21Z,"algorithm,algorithm-interview,algorithm-interview-questions,algorithms,behavioral-interviews,coding-interviews,interview-practice,interview-preparation,interview-questions,system-design",131614,15966,571,482,1317,177,354,976.87,76.77,0
AutoGPT,Significant-Gravitas,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",2023-03-16T09:21:07Z,2025-11-06T21:30:30Z,"ai,artificial-intelligence,autonomous-agents,gpt-4,llama-api,openai,python",179531,46103,6553,3507,7509,796,717,106.77,79.55,80
black,psf,psf/black,https://github.com/psf/black,The uncompromising Python code formatter,2018-03-14T19:54:45Z,2025-11-06T17:40:01Z,"autopep8,code,codeformatter,formatter,gofmt,hacktoberfest,pre-commit-hook,python,yapf",41124,2660,2011,1634,2074,486,872,639.52,307.32,48
pytorch,pytorch,pytorch/pytorch,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,2016-08-13T05:26:41Z,2025-11-06T22:34:57Z,"autograd,deep-learning,gpu,machine-learning,neural-network,numpy,python,tensor",94751,25809,112092,6329,95791,6038,3855,13.57,79.35,62
youtube-dl,ytdl-org,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,2010-10-31T14:35:07Z,2025-11-06T22:27:23Z,,138688,10526,4986,1644,18951,1010,3011,597.23,406.61,341
n8n,n8n-io,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",2019-06-22T09:24:21Z,2025-11-06T23:52:07Z,"ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation",154490,49364,15157,11860,16286,510,1751,5.48,139.11,430
langflow,langflow-ai,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,2023-02-08T22:28:03Z,2025-11-07T00:07:52Z,"agents,chatgpt,generative-ai,large-language-models,multiagent,react-flow",137357,7925,6933,5117,16839,315,853,112.05,79.92,269
scrcpy,Genymobile,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,2017-11-21T18:00:27Z,2025-11-07T00:28:34Z,"android,c,ffmpeg,libav,mirroring,recording,screen,sdl2",130745,12241,583,113,2871,157,892,264.09,162.08,49
stable-diffusion-webui,AUTOMATIC1111,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,2022-08-22T14:05:26Z,2025-11-07T00:31:22Z,"ai,ai-art,deep-learning,diffusion,gradio,image-generation,image2image,img2img,pytorch,stable-diffusion,text2image,torch,txt2img,unstable,upscaling,web",157887,29305,3276,1881,7689,640,611,310.72,141.93,27
yt-dlp,yt-dlp,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,2020-10-26T04:22:55Z,2025-11-06T23:55:37Z,"cli,downloader,python,sponsorblock,youtube-dl,youtube-downloader,yt-dlp",134054,10768,4229,3019,23579,1681,3931,209.63,395.57,124
vscode,microsoft,microsoft/vscode,https://github.com/microsoft/vscode,Visual Studio Code,2015-09-03T20:23:38Z,2025-11-06T23:16:24Z,"editor,electron,microsoft,typescript,visual-studio-code",178285,35984,45560,38517,140764,2850,3555,35.58,108.6,183
go,golang,golang/go,https://github.com/golang/go,The Go programming language,2014-08-19T04:33:40Z,2025-11-06T23:27:17Z,"go,golang,language,programming-language",130713,18437,4716,1,64396,2820,6074,49.85,312.47,0
dify,langgenius,langgenius/dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,2023-04-12T07:40:24Z,2025-11-07T01:18:35Z,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow",118238,18277,9647,8159,7788,1036,811,59.77,40.71,148
open-webui,open-webui,open-webui/open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",2023-10-06T22:08:27Z,2025-11-07T01:27:41Z,"ai,llm,llm-ui,llm-webui,llms,mcp,ollama,ollama-webui,open-webui,openai,openapi,rag,self-hosted,ui,webui",114458,15960,4959,2821,14054,730,734,47.41,25.84,133
PowerToys,microsoft,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that help you customize Windows and streamline everyday tasks,2019-05-01T17:44:02Z,2025-11-07T00:03:23Z,"color-picker,command-palette,desktop,fancyzones,keyboard-manager,microsoft-powertoys,powerrename,powertoys,windows,windows-10,windows-11",125490,7462,6837,5937,8536,588,1967,174.97,148.71,122
react-native,facebook,facebook/react-native,https://github.com/facebook/react-native,A framework for building native applications using React,2015-01-09T18:10:16Z,2025-11-07T00:58:12Z,"android,app-framework,cross-platform,ios,mobile,mobile-development,react,react-native",124435,24931,25057,943,39037,4049,3530,38.84,76.12,424
electron,electron,electron/electron,https://github.com/electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",2013-04-12T01:47:36Z,2025-11-07T00:59:45Z,"c-plus-plus,chrome,css,electron,html,javascript,nodejs,v8,works-with-codespaces",118994,16624,26698,23688,29765,1531,3734,125.64,110.92,1789
langchain,langchain-ai,langchain-ai/langchain,https://github.com/langchain-ai/langchain,🦜🔗 The platform for reliable agents.,2022-10-17T02:58:36Z,2025-11-07T01:00:33Z,"agents,ai,ai-agents,ai-agents-framework,aiagentframework,anthropic,chatgpt,enterprise,framework,gemini,generative-ai,langchain,llm,multiagent,open-source,openai,pydantic,python,rag",119051,19615,19670,15311,14754,3554,1008,93.44,94.93,1070
excalidraw,excalidraw,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,2020-01-02T01:04:43Z,2025-11-07T01:20:53Z,"canvas,collaboration,diagrams,drawing,hacktoberfest,productivity,whiteboard",109797,11427,5373,3747,3866,346,1191,294.43,131.65,14
axios,axios,axios/axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,2014-08-18T22:30:27Z,2025-11-06T19:40:10Z,"hacktoberfest,http-client,javascript,nodejs,promise",108090,11394,2021,1058,1761,537,696,1292.05,1552.25,104
node,nodejs,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,2014-11-26T19:57:11Z,2025-11-06T23:55:41Z,"javascript,js,linux,macos,mit,node,nodejs,runtime,windows",114169,33693,38457,11198,45441,4245,5764,74.64,321.92,467
three.js,mrdoob,mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript 3D Library.,2010-03-23T18:58:01Z,2025-11-07T01:52:29Z,"3d,augmented-reality,canvas,html5,javascript,svg,virtual-reality,webaudio,webgl,webgl2,webgpu,webxr",109242,36059,18685,14713,46200,2440,5081,84.46,133.41,173
deno,denoland,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,2018-05-15T01:34:26Z,2025-11-07T02:03:04Z,"deno,javascript,rust,typescript",105043,5761,16338,13661,14496,1128,2517,404.82,100.11,351
rustdesk,rustdesk,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",2020-09-28T15:36:08Z,2025-11-07T02:53:01Z,"android,anydesk,dart,flatpak,flutter,flutter-apps,ios,linux,macos,p2p,rdp,remote-control,remote-desktop,rust,rust-lang,teamviewer,vnc,wayland,windows",102018,14953,4646,3770,10834,393,1467,213.98,18.06,33
frp,fatedier,fatedier/frp,https://github.com/fatedier/frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,2015-12-21T15:24:59Z,2025-11-07T03:05:34Z,"expose,firewall,frp,go,http-proxy,nat,p2p,proxy,reverse-proxy,tunnel",100379,14589,1025,701,1366,135,634,204.96,32.19,107
kubernetes,kubernetes,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,2014-06-06T22:56:04Z,2025-11-07T01:21:40Z,"cncf,containers,go,kubernetes",118433,41653,86530,63089,134094,5497,4136,10.52,380.34,763
create-react-app,facebook,facebook/create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,2016-07-17T14:55:11Z,2025-11-06T23:27:21Z,"build-tools,react,zero-configuration",103821,27145,4365,1949,2819,946,783,374.03,430.75,83
iptv,iptv-org,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,2018-11-14T22:00:57Z,2025-11-07T03:40:45Z,"iptv,m3u,playlist,streams,tv",98342,4200,7610,6729,32776,368,2221,682.91,21.96,0
ui,shadcn-ui,shadcn-ui/ui,https://github.com/shadcn-ui/ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",2023-01-04T12:43:27Z,2025-11-07T03:15:11Z,"components,nextjs,radix-ui,react,shadcn,tailwindcss,ui",99193,7125,2808,805,1112,379,306,427.83,257.65,62
HowToCook,Anduin2017,Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).,2020-02-29T10:43:49Z,2025-11-07T01:58:56Z,"chinese,cookbook,cooking,dishes,recipes",95612,10670,832,598,2481,449,283,298.62,50.75,4
godot,godotengine,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,2014-01-04T16:05:36Z,2025-11-07T02:01:11Z,"game-development,game-engine,gamedev,godot,godotengine,multi-platform,open-source",102966,23531,52077,39684,78581,3559,4071,167.77,549.1,64
TypeScript,microsoft,microsoft/TypeScript,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,2014-06-17T15:28:39Z,2025-11-07T02:08:46Z,"javascript,language,typechecker,typescript",106648,13092,18839,14746,36633,922,3514,181.42,313.92,213
tauri,tauri-apps,tauri-apps/tauri,https://github.com/tauri-apps/tauri,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",2019-07-13T09:09:37Z,2025-11-07T02:53:05Z,"desktop-app,high-performance,mobile-app,native-app,rust,web-frontend,webview",98636,3152,6093,5269,5778,513,1376,332.39,147.99,1527
tauri,tauri-apps,tauri-apps/tauri,https://github.com/tauri-apps/tauri,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",2019-07-13T09:09:37Z,2025-11-07T03:33:22Z,"desktop-app,high-performance,mobile-app,native-app,rust,web-frontend,webview",98637,3152,6093,5269,5778,513,1376,332.39,147.99,1527
Web-Dev-For-Beginners,microsoft,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",2020-11-10T02:44:00Z,2025-11-07T04:15:54Z,"css,curriculum,education,html,javascript,learning,microsoft-for-beginners,tutorials",94050,14624,1055,619,2161,247,477,426.19,620.15,0
java-design-patterns,iluwatar,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,2014-08-09T16:45:18Z,2025-11-07T02:15:14Z,"awesome-list,design-patterns,hacktoberfest,java,principles,snippets,snippets-collection,snippets-library",93301,27321,2363,1507,4336,504,1122,1339.01,285.31,0
angular,angular,angular/angular,https://github.com/angular/angular,Deliver web apps with confidence 🚀,2014-09-18T16:12:01Z,2025-11-06T23:28:19Z,"angular,javascript,pwa,typescript,web,web-framework,web-performance",99223,26735,33276,4146,35275,2519,3847,242.35,82.92,558
terminal,microsoft,microsoft/terminal,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",2017-08-11T18:38:22Z,2025-11-07T01:56:17Z,"cmd,command-line,console,contributions-welcome,good-first-issue,hacktoberfest,terminal,windows,windows-console,windows-terminal,wsl",100787,8892,4891,4260,4746,457,1345,215.03,316.9,142
rust,rust-lang,rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,2010-06-16T20:39:03Z,2025-11-07T01:08:27Z,"compiler,language,rust",107688,13947,87952,67119,310053,7970,5564,22.83,237.41,143
neovim,neovim,neovim/neovim,https://github.com/neovim/neovim,Vim-fork focused on extensibility and usability,2014-01-31T13:39:22Z,2025-11-07T03:58:15Z,"api,c,lua,neovim,nvim,text-editor,vim",94038,6399,22009,16731,34379,1343,4152,118.43,239.38,48
material-ui,mui,mui/material-ui,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,2014-08-18T19:11:54Z,2025-11-07T01:46:51Z,"design-system,material-design,material-ui,react,react-components",96956,32695,25581,21059,27499,3398,3667,77.54,123.98,551
puppeteer,puppeteer,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,JavaScript API for Chrome and Firefox,2017-05-09T22:16:13Z,2025-11-07T03:31:56Z,"automation,chrome,chromium,developer-tools,firefox,headless-chrome,node-module,testing,web",92806,9321,6954,5606,5887,536,1591,1915.23,107.33,606
vue-element-admin,PanJiaChen,PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,2017-04-17T03:35:49Z,2025-11-06T16:08:57Z,"admin,admin-dashboard,admin-template,axios,dashboard,desktop,element,element-ui,i18n,management-system,mock,tinymce,vue,vue-admin,vue-cli,vuex,webpack,webpack4,xlsx",90082,30658,596,311,1020,124,440,489.4,219.51,49
ComfyUI,comfyanonymous,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",2023-01-17T03:15:56Z,2025-11-07T04:13:23Z,"ai,comfy,comfyui,python,pytorch,stable-diffusion",92941,10471,2499,1562,4192,250,1005,327.15,68.1,90
fastapi,fastapi,fastapi/fastapi,https://github.com/fastapi/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",2018-12-08T08:21:47Z,2025-11-07T03:41:56Z,"api,async,asyncio,fastapi,framework,json,json-schema,openapi,openapi3,pydantic,python,python-types,python3,redoc,rest,starlette,swagger,swagger-ui,uvicorn,web",91603,8172,4850,2848,6219,850,727,390.49,1820.81,224
tailwindcss,tailwindlabs,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.,2017-10-06T14:59:14Z,2025-11-07T04:22:00Z,"css,css-framework,functional-css,postcss,responsive,tailwindcss,utility-classes",90940,4776,3960,3192,6505,329,1410,166.86,102.29,296
ant-design,ant-design,ant-design/ant-design,https://github.com/ant-design/ant-design,An enterprise-class UI design language and React UI library,2015-04-24T15:37:24Z,2025-11-07T02:16:11Z,"ant-design,antd,design-systems,react,typescript,ui-kit,ui-library",96556,53922,20740,16309,30093,2615,3492,34.53,50.82,722
animate.css,animate-css,animate-css/animate.css,https://github.com/animate-css/animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,2011-10-12T10:07:38Z,2025-11-07T01:44:20Z,"animation,css,css-animations,stylesheets",82416,16148,920,315,664,131,312,657.75,578.87,22
NextChat,ChatGPTNextWeb,ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,2023-03-10T18:27:54Z,2025-11-07T05:07:17Z,"calclaude,chatgpt,claude,cross-platform,desktop,fe,gemini,gemini-pro,gemini-server,gemini-ultra,gpt-4o,groq,nextjs,ollama,react,tauri,tauri-app,vercel,webui",86354,60863,2624,895,3091,301,522,27.68,84.78,77
markitdown,microsoft,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,2024-11-13T19:56:40Z,2025-11-07T05:01:37Z,"autogen,autogen-extension,langchain,markdown,microsoft-office,openai,pdf",82645,4668,339,163,295,75,49,216.62,216.44,15
supabase,supabase,supabase/supabase,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",2019-10-12T05:56:49Z,2025-11-07T04:36:00Z,"ai,alternative,auth,database,deno,embeddings,example,firebase,nextjs,oauth2,pgvector,postgis,postgres,postgresql,postgrest,realtime,supabase,vectors,websockets",92088,10523,16856,13960,33356,1721,1823,61.09,111.37,22
mermaid,mermaid-js,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,2014-11-01T23:52:32Z,2025-11-07T04:24:30Z,"diagrams,diagrams-as-code,documentation,flowchart,javascript,mindmap,typescript,uml-diagrams",83943,8247,3210,2508,13817,743,1972,1574.21,211.4,174
llama.cpp,ggml-org,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,2023-03-10T18:58:00Z,2025-11-07T03:36:38Z,ggml,89274,13585,8151,6244,7025,1339,945,157.32,99.1,4606
manim,3b1b,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,2015-03-22T18:50:58Z,2025-11-07T05:15:43Z,"3b1b-videos,animation,explanatory-math-videos,python",81670,6922,906,644,6345,190,1251,730.2,470.32,13
opencv,opencv,opencv/opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,2012-07-19T09:40:17Z,2025-11-07T03:16:23Z,"c-plus-plus,computer-vision,deep-learning,image-processing,opencv",84774,56354,16471,13247,35679,2343,5000,472.1,230.65,66
FiraCode,tonsky,tonsky/FiraCode,https://github.com/tonsky/FiraCode,Free monospaced font with programming ligatures,2014-11-11T19:32:38Z,2025-11-07T05:50:36Z,"font,ligatures,programming-ligatures",80498,3176,201,139,614,128,294,359.49,104.92,29
django,django,django/django,https://github.com/django/django,The Web framework for perfectionists with deadlines.,2012-04-28T02:47:18Z,2025-11-07T03:41:48Z,"apps,django,framework,models,orm,python,templates,views,web",85681,33198,20000,10043,34026,3346,6361,298.41,362.39,0
immich,immich-app,immich-app/immich,https://github.com/immich-app/immich,High performance self-hosted photo and video management solution.,2022-02-03T15:56:27Z,2025-11-07T05:26:44Z,"backup-tool,flutter,google-photos,google-photos-alternative,javascript,mobile-app,nestjs,nodejs,photo-gallery,photos,photos-management,self-hosted,svelte,sveltekit,typescript,videos",83625,4385,9163,7796,8587,769,1214,147.73,65.34,278
svelte,sveltejs,sveltejs/svelte,https://github.com/sveltejs/svelte,web development for the rest of us,2016-11-20T18:13:05Z,2025-11-07T04:20:39Z,"compiler,template,ui",84704,4670,7544,6183,10700,870,1935,238.3,224.87,550
LLMs-from-scratch,rasbt,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",2023-07-23T18:15:57Z,2025-11-07T06:18:17Z,"ai,artificial-intelligence,chatbot,chatgpt,deep-learning,from-scratch,generative-ai,gpt,language-model,large-language-models,llm,machine-learning,neural-networks,python,pytorch,transformers",78067,11525,515,452,995,54,374,23.36,13.81,0
hugo,gohugoio,gohugoio/hugo,https://github.com/gohugoio/hugo,The world’s fastest framework for building websites.,2013-07-04T15:26:26Z,2025-11-07T04:37:52Z,"blog-engine,cms,content-management-system,documentation-tool,go,hugo,static-site-generator",84576,8082,6019,3032,9261,904,2841,4168.03,153.64,347
clash-verge-rev,clash-verge-rev,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",2023-11-21T18:24:03Z,2025-11-07T06:10:48Z,"clash,clash-meta,clash-verge,linux,mac,mihomo,tauri-app,windows",80755,5978,693,526,3567,118,819,70.28,31.66,56
